id,vestibular,disciplina,ano,fase,assunto,area,conteudo,questao
112,unesp,Física,2017,primeira_1sem,eletricidade,eletrostática,campo elétrico,82
113,unesp,Física,2017,primeira_1sem,eletricidade,eletromagnetismo,campo magnético,83
114,unesp,Física,2018,primeira_2sem,mecânica,cinemática,aceleração média,76
115,unesp,Física,2018,primeira_2sem,mecânica,dinâmica,força resultante,77
116,unesp,Física,2018,primeira_2sem,mecânica,hidrostática,pressão hidrostática,78
117,unesp,Física,2018,primeira_2sem,termologia,calorimetria,quantidade de calor,79
118,unesp,Física,2018,primeira_2sem,óptica,óptica geométrica,lentes,80
119,unesp,Física,2018,primeira_2sem,eletricidade,eletrostática,força elétrica,81
120,unesp,Física,2018,primeira_2sem,eletricidade,eletrodinâmica,circuito,82
121,unesp,Física,2019,primeira_1sem,mecânica,estática,equilíbrio,76
122,unesp,Física,2019,primeira_1sem,mecânica,estática,equilíbrio,77
123,unesp,Física,2019,primeira_1sem,mecânica,estática,equilíbrio,78
124,unesp,Física,2019,primeira_1sem,física moderna,física quântica,teoria atômica,79
125,unesp,Física,2019,primeira_1sem,termologia,calorimetria,conservação,80
126,unesp,Física,2019,primeira_1sem,óptica,óptica geométrica,refração,81
127,unesp,Física,2019,primeira_1sem,eletricidade,eletromagnetismo,campo magnético,82
128,unesp,Física,2020,primeira_1sem,mecânica,cinemática,mruv,76
129,unesp,Física,2020,primeira_1sem,mecânica,gravitação,leis de Kepler,77
130,unesp,Física,2020,primeira_1sem,mecânica,dinâmica,energia,78
131,unesp,Física,2020,primeira_1sem,termologia,calorimetria,conservação,79
132,unesp,Física,2020,primeira_1sem,óptica,óptica geométrica,lentes,80
133,unesp,Física,2020,primeira_1sem,física moderna,física quântica,energia,81
134,unesp,Física,2020,primeira_1sem,eletricidade,eletrodinâmica,potência,82
135,unesp,Física,2016,primeira_1sem,mecânica,cinemática,mru,76
136,unesp,Física,2016,primeira_1sem,mecânica,cinemática,mcu,77
137,unesp,Física,2016,primeira_1sem,mecânica,dinâmica,força,78
138,unesp,Física,2016,primeira_1sem,mecânica,cinemática,lançamento,79
139,unesp,Física,2016,primeira_1sem,termologia,estudo dos gases,transformações,80
140,unesp,Física,2016,primeira_1sem,óptica,óptica geométrica,espelhos esféricos,81
141,unesp,Física,2016,primeira_1sem,ondulatória,ondas mecânicas,comprimento onda,82
142,unesp,Física,2016,primeira_1sem,eletricidade,eletrodinâmica,potência,83
143,unesp,Física,2018,primeira_1sem,mecânica,cinemática,velocidade média,76
144,unesp,Física,2018,primeira_1sem,mecânica,dinâmica,força elástica,77
145,unesp,Física,2018,primeira_1sem,mecânica,cinemática,lançamento oblíquo,78
146,unesp,Física,2018,primeira_1sem,termologia,transferência de calor,fluxo térmico,79
147,unesp,Física,2018,primeira_1sem,óptica,óptica geométrica,lentes,80
148,unesp,Física,2018,primeira_1sem,ondulatória,ondas sonoras,nível sonoro,81
149,unesp,Física,2018,primeira_1sem,eletricidade,eletrodinâmica,circuito,82
